meeting_id,title,start_time,call_type,final_topic,summary_overall_sentiment,summary_sentiment_score,utt_sent_positive_ratio,utt_sent_negative_ratio,utt_composite_score,neg_pressure_score,neg_ratio_zscore,root_cause_note
01KQ7BF0D56037FF89DC89B6,Support Case #3266 - Trailhead Marketplace Detect Alerts Not Firing,2026-03-11T17:45:00.000Z,support,Support Troubleshooting & Case Resolution,very-negative,1.4,0.0,0.6389,1.7222,1.2389,2.3156,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQ38C4101D6774F2F02331,INCIDENT: Detect Pipeline Failure - War Room,2026-03-10T13:15:00.000Z,ambiguous,Incident Response & Outage Management,negative,1.8,0.0,0.7179,1.5642,1.1846,2.7073,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQ46A9DE0AECB006D897A0,Detect Outage - Escalation Bridge,2026-03-11T11:00:00.000Z,ambiguous,Incident Response & Outage Management,negative,1.8,0.0,0.6098,1.7804,1.0765,2.1713,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQ88B8EAEAA819C26CCBE7,ESCALATION: Northstar Pharma - Detect Outage Impact on Compliance,2026-03-15T14:30:00.000Z,external,Compliance & Audit Readiness,mixed-negative,2.1,0.0,0.6585,1.683,1.0252,2.4128,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQ2D93184912F0147315E7,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,2026-03-12T15:45:00.000Z,external,Incident Response & Outage Management,very-negative,1.6,0.0732,0.561,2.0244,1.0211,1.9294,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQEDB92E33CF9945A7F71B,URGENT: Cobalt Software - Aegis Detect Dashboard Down,2026-03-10T13:15:00.000Z,external,Incident Response & Outage Management,negative,1.8,0.0,0.5405,1.919,1.0072,1.8278,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQ2331EFD78BF3B1CAB747,Detect Outage - Customer Impact Assessment,2026-03-12T13:45:00.000Z,ambiguous,Incident Response & Outage Management,negative,1.8,0.0,0.5273,1.9454,0.994,1.7623,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQD1270E98A7DFC55ADCF8,Protect Performance - Scalability Concerns,2026-04-15T16:45:00.000Z,ambiguous,Platform Reliability & Performance,mixed-negative,2.2,0.0,0.5745,1.851,0.9078,1.9963,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQE110900B8A65D80AE694,Detect Outage - Root Cause Analysis,2026-03-14T14:30:00.000Z,internal,Incident Response & Outage Management,mixed-negative,2.4,0.0,0.5789,1.8422,0.8456,2.0181,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQ94C2B8B9B4668F3D3491,Support Case #6573 - Ridgeline Logistics Detect Data Gaps,2026-03-13T10:30:00.000Z,support,Support Troubleshooting & Case Resolution,mixed-negative,2.1,0.0,0.4286,2.1428,0.7953,1.273,Outage/incident impact and trust erosion; Performance/reliability degradation
01KQ4529010F423FD9DB40BD,Win/Loss Analysis - Q1,2026-04-24T12:45:00.000Z,ambiguous,Incident Response & Outage Management,mixed-negative,2.4,0.025,0.525,2.0,0.7667,1.7509,Outage/incident impact and trust erosion; Commercial risk in renewal conversation
01KQ56AA6B60801ABC01AB1C,Support Case #8179 - Clearwater Medical Overage Charges Dispute,2026-04-10T17:30:00.000Z,support,Support Troubleshooting & Case Resolution,mixed-negative,2.4,0.0,0.45,2.1,0.7167,1.3791,Outage/incident impact and trust erosion; Compliance pressure and delivery risk
