week_start,meeting_count,avg_summary_sentiment_score,avg_utt_composite_score,avg_utt_positive_ratio,avg_utt_negative_ratio,negative_dominant_share
2026-02-02,5,3.88,3.42,0.2915,0.0816,0.2
2026-02-09,6,3.6667,3.3431,0.2606,0.0891,0.1667
2026-02-16,7,3.4286,3.0296,0.1427,0.1279,0.2857
2026-02-23,8,3.8,3.4296,0.2876,0.0728,0.25
2026-03-02,7,4.0571,3.4858,0.2705,0.0276,0.2857
2026-03-09,13,2.1615,2.1861,0.0851,0.4921,0.9231
2026-03-16,9,2.5556,2.6326,0.0719,0.2556,0.8889
2026-03-23,7,2.9429,2.8469,0.1227,0.1993,0.5714
2026-03-30,6,4.7333,4.4358,0.7317,0.0138,0.0
2026-04-06,8,3.3625,3.2019,0.2605,0.1596,0.25
2026-04-13,9,3.5111,3.2213,0.2579,0.1472,0.3333
2026-04-20,12,3.9417,3.7075,0.4715,0.1177,0.3333
2026-04-27,3,3.8333,3.763,0.5089,0.1274,0.3333
